DEBUG 2024-10-03 20:59:55,971 autoreload File F:\AI\torch\MuseTalk-main\slingshot\server\AiShotServer\AiShotServer\views\image_views.py first seen with mtime 1725094329.496303
DEBUG 2024-10-03 20:59:55,974 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\operator.py first seen with mtime 1710884776.0
DEBUG 2024-10-03 20:59:55,975 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\shutil.py first seen with mtime 1710884776.0
DEBUG 2024-10-03 20:59:55,975 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\encodings\__init__.py first seen with mtime 1710884776.0
DEBUG 2024-10-03 20:59:55,976 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\django\template\loaders\__init__.py first seen with mtime 1725444486.6431508
DEBUG 2024-10-03 20:59:55,976 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\urllib3\exceptions.py first seen with mtime 1716949265.3361635
DEBUG 2024-10-03 20:59:55,977 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\django\contrib\admin\templatetags\__init__.py first seen with mtime 1725444485.8711507
DEBUG 2024-10-03 20:59:55,978 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\django\template\base.py first seen with mtime 1725444486.6391509
DEBUG 2024-10-03 20:59:55,978 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\urllib\error.py first seen with mtime 1710884776.0
DEBUG 2024-10-03 20:59:55,979 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\django\core\signals.py first seen with mtime 1725444486.5431507
DEBUG 2024-10-03 20:59:55,979 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\concurrent\futures\thread.py first seen with mtime 1710884776.0
DEBUG 2024-10-03 20:59:55,980 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\importlib\metadata\__init__.py first seen with mtime 1710884776.0
DEBUG 2024-10-03 20:59:55,980 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\sqlparse\utils.py first seen with mtime 1690904818.0
DEBUG 2024-10-03 20:59:55,981 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\pygments\formatters\_mapping.py first seen with mtime 1714846879.4904716
DEBUG 2024-10-03 20:59:55,981 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\rest_framework\metadata.py first seen with mtime 1718812629.3819091
